,Animal Name,Primary Color,Secondary Color,Sex,DOB,Age,Intake Date,Intake Condition,Intake Type,Intake Subtype,Reason for Intake,Outcome Date,Crossing,Jurisdiction,Outcome Type,Outcome Subtype,was_outcome_alive,Intake_Date_dt,Outcome_Date_dt,days_in_shelter
2015,,BRN TABBY,,Unknown,2017-09-22,5.0,2017-10-22,UNDER AGE/WEIGHT,STRAY,FIELD,,2017-10-29,"16400 BLK HOLMES PL, CERRITOS, CA 90703",CERRITOS,EUTHANASIA,UNDRAGE/WT,0,2017-10-22,2017-10-29,7 days
2016,,BRN TABBY,,Unknown,2017-09-22,5.0,2017-10-22,UNDER AGE/WEIGHT,STRAY,FIELD,,2017-10-29,"16400 BLK HOLMES PL, CERRITOS, CA 90703",CERRITOS,EUTHANASIA,UNDRAGE/WT,0,2017-10-22,2017-10-29,7 days
2017,,ORANGE,WHITE,Unknown,2017-09-22,5.0,2017-10-22,UNDER AGE/WEIGHT,STRAY,FIELD,,2017-10-29,"16400 BLK HOLMES PL, CERRITOS, CA 90703",CERRITOS,EUTHANASIA,UNDRAGE/WT,0,2017-10-22,2017-10-29,7 days
2018,,CALICO,WHITE,Female,2017-08-23,5.0,2017-10-23,NORMAL,STRAY,FIELD,,2017-10-29,"900 ELM AVE, LONG BEACH, CA 90813",LONG BEACH,TRANSFER,SPCALA,1,2017-10-23,2017-10-29,6 days
2019,,BRN TABBY,,Female,2017-09-19,5.0,2017-10-24,UNDER AGE/WEIGHT,STRAY,OTC,,2017-11-01,"5100 N VIA VERANDA, LONG BEACH, CA 90805",LONG BEACH,RESCUE,FNDANIFOUN,1,2017-10-24,2017-11-01,8 days
2020,*BUTCH,SEAL PT,,Male,2017-09-19,5.0,2017-10-24,UNDER AGE/WEIGHT,STRAY,OTC,,2018-02-23,"5100 N VIA VERANDA, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,PFE/PAWSHP,1,2017-10-24,2018-02-23,122 days
2021,*GINGERBREAD,BRN TABBY,,Female,2016-10-25,6.0,2017-10-25,NORMAL,STRAY,FIELD,,2017-11-05,"1000 BLK E 7TH ST, LONG BEACH, CA 90813",LONG BEACH,TRANSFER,IRVINE ACC,1,2017-10-25,2017-11-05,11 days
2022,*ABBY,BLACK,WHITE,Female,2017-06-25,5.0,2017-10-25,NORMAL,STRAY,OTC,,2017-12-12,"LEWIS AVE / 36TH ST, LONG BEACH, CA 90807",LONG BEACH,RESCUE,CATPAWS,1,2017-10-25,2017-12-12,48 days
2023,*OJITO,LYNX PT,,Male,2015-10-26,7.0,2017-10-26,NORMAL,STRAY,FIELD,,2017-12-02,"2800 BLK DELTA AVE, LONG BEACH, CA 90810",LONG BEACH,TRANSFER,SPCALA,1,2017-10-26,2017-12-02,37 days
2024,,BLACK,WHITE,Male,2017-09-26,5.0,2017-10-26,UNDER AGE/WEIGHT,STRAY,OTC,,2017-10-27,"PALO VERDE ST / E SPRING ST, LONG BEACH, CA 90815",LONG BEACH,TRANSFER,SPCALA,1,2017-10-26,2017-10-27,1 days
2025,,BLACK,,Female,2017-09-26,5.0,2017-10-26,UNDER AGE/WEIGHT,STRAY,OTC,,2017-11-02,"400 E 55TH ST, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,UNDRAGE/WT,0,2017-10-26,2017-11-02,7 days
2026,*NUCKLES,GRAY TABBY,,Spayed,2012-10-27,10.0,2017-10-27,FERAL,STRAY,FIELD,,2017-11-01,"6000 BLK LINDEN AVE, LONG BEACH, CA 90805",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2017-10-27,2017-11-01,5 days
2027,,ORANGE,WHITE,Unknown,2010-10-28,12.0,2017-10-28,INJURED  SEVERE,STRAY,FIELD,,2017-10-29,"1100 ORANGE AVE, LONG BEACH, CA 90813",LONG BEACH,EUTHANASIA,INJ SEVERE,0,2017-10-28,2017-10-29,1 days
2028,,BLACK,,Unknown,2017-10-04,5.0,2017-10-28,UNDER AGE/WEIGHT,STRAY,FIELD,,2017-10-28,"400 BLK W 19TH ST, LONG BEACH, CA 90806",LONG BEACH,RESCUE,ZOEYSPLACE,1,2017-10-28,2017-10-28,0 days
2029,,SEAL PT,,Unknown,2017-09-29,5.0,2017-10-29,INJURED  SEVERE,STRAY,FIELD,,2017-10-29,"5900 BLK DOWNEY AVE, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,INJ SEVERE,0,2017-10-29,2017-10-29,0 days
2030,*CHEESE POOF,ORG TABBY,WHITE,Male,2015-11-01,7.0,2017-11-01,NORMAL,STRAY,OTC,,2017-11-10,"7250 CARSON BLVD, LONG BEACH, CA 90808",LONG BEACH,ADOPTION,SPCALA,1,2017-11-01,2017-11-10,9 days
2031,*RIKA,TORTIE DIL,,Female,2017-09-01,5.0,2017-11-01,NORMAL,STRAY,OTC,,2017-11-12,"3600 BLK COUNTRY CLUB DR, LONG BEACH, CA 90807",LONG BEACH,ADOPTION,SPCALA,1,2017-11-01,2017-11-12,11 days
2032,*O'MALLEY,ORG TABBY,,Neutered,2014-11-02,8.0,2017-11-02,NORMAL,STRAY,OTC,,2017-12-16,"5600 BLK LONG BEACH BLVD, LONG BEACH, CA 90805",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2017-11-02,2017-12-16,44 days
2033,,SEAL PT,,Female,2014-11-02,8.0,2017-11-02,NORMAL,STRAY,OTC,,2017-11-09,"XIMENO AVE / E ATHERTON ST, LONG BEACH, CA 90815",LONG BEACH,TRANSFER,SPCALA,1,2017-11-02,2017-11-09,7 days
2034,,CRM TABBY,WHITE,Male,2017-09-04,5.0,2017-11-02,NORMAL,STRAY,OTC,,2017-11-10,"17TH ST / LEWIS AVE, LONG BEACH, CA 90813",LONG BEACH,TRANSFER,SPCALA,1,2017-11-02,2017-11-10,8 days
2035,*B.CARLISLE,BRN TABBY,WHITE,Spayed,2015-11-03,7.0,2017-11-03,FERAL,STRAY,FIELD,,2017-11-16,"6000 BLK LINDEN AVE, LONG BEACH, CA 90805",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2017-11-03,2017-11-16,13 days
2036,*TURKEY LEG,WHITE,ORG TABBY,Male,2017-09-04,5.0,2017-11-04,NORMAL,STRAY,OTC,,2018-01-11,"640 E 15TH ST, LONG BEACH, CA 90813",LONG BEACH,RESCUE,FNDANIFOUN,1,2017-11-04,2018-01-11,68 days
2037,,BRN TABBY,,Male,2017-09-04,5.0,2017-11-04,FERAL,STRAY,OTC,,2017-11-29,"1300 E WESLEY DR, LONG BEACH, CA 90806",LONG BEACH,RESCUE,FNDANIFOUN,1,2017-11-04,2017-11-29,25 days
2038,,BRN TABBY,,Male,2017-09-20,5.0,2017-11-05,UNDER AGE/WEIGHT,STRAY,OTC,,2017-11-09,"KNOXVILLE AVE / E SPRING ST, LONG BEACH, CA 90815",LONG BEACH,RESCUE,FNDANIFOUN,1,2017-11-05,2017-11-09,4 days
2039,*ELLA BLUE,BRN TABBY,WHITE,Spayed,2014-11-05,8.0,2017-11-05,FERAL,STRAY,OTC,,2017-11-09,"640 E 15TH ST, LONG BEACH, CA 90813",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2017-11-05,2017-11-09,4 days
2040,FELIX,FLAME PT,,Neutered,2013-11-06,9.0,2017-11-06,NORMAL,STRAY,OTC,,2017-11-18,"300 CHESTNUT AVE, LONG BEACH, CA 90802",LONG BEACH,ADOPTION,SPCALA,1,2017-11-06,2017-11-18,12 days
2041,,BLACK,WHITE,Unknown,2017-10-18,5.0,2017-11-07,UNDER AGE/WEIGHT,STRAY,FIELD,,2017-11-17,"500 BLK E OCEAN BLVD, LONG BEACH, CA 90802",LONG BEACH,RESCUE,CATPAWS,1,2017-11-07,2017-11-17,10 days
2042,BENNY,GRAY TABBY,,Neutered,2017-10-03,5.0,2017-11-08,UNDER AGE/WEIGHT,STRAY,OTC,,2017-12-21,"5800 JOHN AVE, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,REFERRAL,1,2017-11-08,2017-12-21,43 days
2043,*MARBLE,GRAY TABBY,,Neutered,2017-10-03,5.0,2017-11-08,UNDER AGE/WEIGHT,STRAY,OTC,,2017-12-13,"5800 JOHN AVE, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,REFERRAL,1,2017-11-08,2017-12-13,35 days
2044,,BLACK,WHITE,Male,2017-10-09,5.0,2017-11-09,UNDER AGE/WEIGHT,STRAY,OTC,,2017-11-09,"E BROADWAY / FALCON AVE, LONG BEACH, CA 90802",LONG BEACH,RESCUE,FNDANIFOUN,1,2017-11-09,2017-11-09,0 days
2045,*THE NOSE,BLACK,WHITE,Neutered,2014-11-10,8.0,2017-11-10,FERAL,STRAY,OTC,,2017-11-30,"5500 LEMON AVE, LONG BEACH, CA 90805",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2017-11-10,2017-11-30,20 days
2046,*TRINA,BLACK,WHITE,Female,2017-10-04,5.0,2017-11-11,FERAL,STRAY,OTC,,2017-11-27,"300 W 10TH ST, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,SPCALA,1,2017-11-11,2017-11-27,16 days
2047,*SANCHO,GRAY,,Neutered,2017-10-12,5.0,2017-11-12,INJURED  SEVERE,STRAY,FIELD,,2018-03-16,"2800 BLK E COOLIDGE ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,ZOEYSPLACE,1,2017-11-12,2018-03-16,124 days
2048,,WHITE,,Female,2017-08-16,5.0,2017-11-16,NORMAL,STRAY,OTC,,2017-11-23,"E 8TH ST / LINDEN AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,SPCALA,1,2017-11-16,2017-11-23,7 days
2049,BEK,BLACK,,Neutered,2013-11-17,9.0,2017-11-17,FERAL,STRAY,OTC,,2017-11-19,"3800 BLK E 15TH ST, LONG BEACH, CA 90804",LONG BEACH,RETURN TO OWNER,WALKIN,1,2017-11-17,2017-11-19,2 days
2050,*COAL,BLACK,WHITE,Neutered,2017-08-17,5.0,2017-11-17,FERAL,STRAY,OTC,,2018-01-11,"3300 BLK CASPIAN AVE, LONG BEACH, CA 90810",LONG BEACH,RESCUE,FNDANIFOUN,1,2017-11-17,2018-01-11,55 days
2051,*JOY,BRN TABBY,WHITE,Female,2013-11-17,9.0,2017-11-17,NORMAL,STRAY,OTC,,2017-12-17,"2000 BLK CHESTNUT AVE, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,SPCALA,1,2017-11-17,2017-12-17,30 days
2052,,BLACK,,Male,2017-10-17,5.0,2017-11-17,UNDER AGE/WEIGHT,STRAY,OTC,,2017-11-25,"37 E 56TH ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,LITTLELION,1,2017-11-17,2017-11-25,8 days
2053,,BLACK,,Female,2017-10-12,5.0,2017-11-18,UNDER AGE/WEIGHT,STRAY,FIELD,,2017-11-18,"1000 BLK E RHEA ST, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,ILL SEVERE,0,2017-11-18,2017-11-18,0 days
2054,TULIP,BLACK,WHITE,Female,2016-11-19,6.0,2017-11-19,NORMAL,OWNER SURRENDER,OTC,OWNER PROB,2017-12-21,"400 LINDEN AVE, LONG BEACH, CA 90802",LONG BEACH,EUTHANASIA,BEH MODERA,0,2017-11-19,2017-12-21,32 days
2055,*MADONNA,CALICO,,Female,2014-11-19,8.0,2017-11-19,NORMAL,STRAY,OTC,,2018-02-13,"4200 BLK CLARK AVE, LONG BEACH, CA 90808",LONG BEACH,ADOPTION,,1,2017-11-19,2018-02-13,86 days
2056,,BLACK,WHITE,Unknown,2004-11-20,18.0,2017-11-20,NORMAL,STRAY,OTC,,2017-11-20,"E SPRING ST / N LAKEWOOD BLVD, LONG BEACH, CA 90815",LONG BEACH,EUTHANASIA,ILL SEVERE,0,2017-11-20,2017-11-20,0 days
2057,*TOULOUSE,GRAY TABBY,,Spayed,2017-04-22,6.0,2017-11-22,NORMAL,STRAY,OTC,,2017-11-30,"5000 ORANGE AVE, LONG BEACH, CA 90805",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2017-11-22,2017-11-30,8 days
2058,*ROCKY,SEAL PT,,Neutered,2014-11-25,8.0,2017-11-25,NORMAL,STRAY,OTC,,2018-01-06,"E 14TH ST / CORONADO AVE, LONG BEACH, CA 90804",LONG BEACH,RESCUE,OTHER RESC,1,2017-11-25,2018-01-06,42 days
2059,,BLACK,WHITE,Male,2012-11-29,10.0,2017-11-29,ILL SEVERE,STRAY,OTC,,2017-11-29,"2000 OLIVE AVE, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,ILL SEVERE,0,2017-11-29,2017-11-29,0 days
2060,*KANE,BR BRINDLE,WHITE,Neutered,2017-08-01,5.0,2017-12-01,FERAL,STRAY,OTC,,2017-12-16,"1800 GARDENIA AVE, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,SPCALA,1,2017-12-01,2017-12-16,15 days
2061,EMILY,BROWN,GRAY TABBY,Female,2011-12-03,11.0,2017-12-03,NORMAL,OWNER SURRENDER,OTC,OWNER PROB,2017-12-31,"2600 BLK RADNOR AVE, LONG BEACH, CA 90815",LONG BEACH,TRANSFER,SPCALA,1,2017-12-03,2017-12-31,28 days
2062,,BRN TABBY,WHITE,Unknown,2017-12-07,5.0,2017-12-07,UNDER AGE/WEIGHT,STRAY,OTC,,2017-12-07,"4000 BLK N BELLFLOWER BLVD, LONG BEACH, CA 90808",LONG BEACH,EUTHANASIA,UNDRAGE/WT,0,2017-12-07,2017-12-07,0 days
2063,*BLITZEN,TORTIE,,Spayed,2013-12-07,9.0,2017-12-23,FRACTIOUS,STRAY,OTC,,2018-03-22,"1600 BLK SEAL WAY, SEAL BEACH, CA 90740",SEAL BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2017-12-23,2018-03-22,89 days
2064,,BRN TABBY,WHITE,Unknown,2017-12-07,5.0,2017-12-07,UNDER AGE/WEIGHT,STRAY,OTC,,2017-12-07,"4000 BLK N BELLFLOWER BLVD, LONG BEACH, CA 90808",LONG BEACH,DIED,IN KENNEL,0,2017-12-07,2017-12-07,0 days
2065,,BLACK,,Female,2017-06-09,5.0,2017-12-09,NORMAL,STRAY,FIELD,,2017-12-17,"2200 BLK ELM AVE, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,SPCALA,1,2017-12-09,2017-12-17,8 days
2066,*D.K.,CALICO,,Spayed,2015-12-10,7.0,2017-12-10,NORMAL,STRAY,FIELD,,2018-01-06,"900 N LOMA VISTA DR, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,WALKIN,1,2017-12-10,2018-01-06,27 days
2067,*TUX,BLACK,WHITE,Male,2017-09-13,5.0,2017-12-13,NORMAL,STRAY,OTC,,2018-01-24,"1600 HENDERSON AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,FNDANIFOUN,1,2017-12-13,2018-01-24,42 days
2068,,TORTIE,WHITE,Unknown,2017-06-13,5.0,2017-12-13,NORMAL,STRAY,OTC,,2017-12-16,"1400 ELM AVE, LONG BEACH, CA 90813",LONG BEACH,TRANSFER,SPCALA,1,2017-12-13,2017-12-16,3 days
2069,MEMPHIS,BRN TABBY,,Neutered,2013-12-15,9.0,2017-12-15,FERAL,STRAY,OTC,,2017-12-28,"100 BLK E EAGLE ST, LONG BEACH, CA 90806",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2017-12-15,2017-12-28,13 days
2070,,BLACK,BROWN,Male,2017-10-19,5.0,2017-12-19,ILL SEVERE,STRAY,FIELD,,2017-12-19,"6300 BLK ORANGE AVE, LONG BEACH, CA 90805",LONG BEACH,DIED,ENROUTE,0,2017-12-19,2017-12-19,0 days
2071,SCOOTER,ORANGE,,Male,2017-09-20,5.0,2017-12-20,NORMAL,OWNER SURRENDER,OTC,FOUND ANIM,2017-12-21,"1088 ALAMITOS AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,FNDANIFOUN,1,2017-12-20,2017-12-21,1 days
2072,,BLACK,,Unknown,2009-12-20,13.0,2017-12-20,ILL MODERATETE,STRAY,FIELD,,2017-12-20,"300 BLK GRAND AVE, LONG BEACH, CA 90814",LONG BEACH,EUTHANASIA,ILL SEVERE,0,2017-12-20,2017-12-20,0 days
2073,*TEDDY,BRN TABBY,,Male,2017-10-21,5.0,2017-12-21,UNDER AGE/WEIGHT,STRAY,OTC,,2018-01-02,"17400 BLK TERRYLYN LN, CERRITOS, CA 90703",CERRITOS,RESCUE,FNDANIFOUN,1,2017-12-21,2018-01-02,12 days
2074,,GRAY TABBY,WHITE,Male,2017-09-21,5.0,2017-12-21,NORMAL,STRAY,FIELD,,2017-12-27,"OBISPO AVE / CA-91, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,1,2017-12-21,2017-12-27,6 days
2075,,BLACK,WHITE,Female,2007-12-24,15.0,2017-12-24,ILL SEVERE,STRAY,FIELD,,2017-12-24,"N SPRINGDALE DR / W SPRING ST, LONG BEACH, CA 90810",LONG BEACH,EUTHANASIA,ILL SEVERE,0,2017-12-24,2017-12-24,0 days
2076,*HONEYDEW,CALICO DIL,,Spayed,2008-12-24,14.0,2017-12-24,NORMAL,STRAY,OTC,,2018-01-01,"BALL RD / BLOOMFIELD ST, LOS ALAMITOS, CA 90720",LOS ALAMITOS,EUTHANASIA,ILL SEVERE,0,2017-12-24,2018-01-01,8 days
2077,,BRN TABBY,WHITE,Male,2017-10-29,5.0,2017-12-29,NORMAL,STRAY,OTC,,2018-01-02,"1000 DAWSON AVE, LONG BEACH, CA 90804",LONG BEACH,RESCUE,FNDANIFOUN,1,2017-12-29,2018-01-02,4 days
2078,*EL DIABLO,BRN TABBY,WHITE,Neutered,2016-12-31,6.0,2017-12-31,FERAL,STRAY,FIELD,,2018-01-11,"2100 BLK ELM AVE, LONG BEACH, CA 90806",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2017-12-31,2018-01-11,11 days
2079,BOI,BLACK,,Neutered,2017-05-09,6.0,2017-07-16,NORMAL,STRAY,OTC,,2017-08-11,"6000 BLK LEWIS AVE, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,REMOTE EVT,1,2017-07-16,2017-08-11,26 days
2080,,TORTIE,,Unknown,2017-11-25,5.0,2018-01-04,UNDER AGE/WEIGHT,STRAY,FIELD,,2018-01-11,"200 BLK E 59TH ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,FNDANIFOUN,1,2018-01-04,2018-01-11,7 days
2081,SASSY,BLK TABBY,,Spayed,2003-01-05,20.0,2018-01-05,NORMAL,OWNER SURRENDER,OTC,POOR HELTH,2018-02-23,"10632 WALNUT ST, LOS ALAMITOS, CA 90720",LOS ALAMITOS,ADOPTION,PFE/PAWSHP,1,2018-01-05,2018-02-23,49 days
2082,*JERRY GERGICH,GRAY,WHITE,Neutered,2015-01-05,8.0,2018-01-05,FERAL,STRAY,OTC,,2018-01-11,"1300 BLK LEWIS AVE, LONG BEACH, CA 90813",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2018-01-05,2018-01-11,6 days
2083,,GRAY,WHITE,Unknown,2014-01-07,9.0,2018-01-07,ILL MODERATETE,STRAY,FIELD,,2018-01-08,"1000 CORONADO AVE, LONG BEACH, CA 90804",LONG BEACH,EUTHANASIA,INJ SEVERE,0,2018-01-07,2018-01-08,1 days
2084,*SYDNEY,CALICO,,Female,2015-01-11,8.0,2018-01-11,NORMAL,STRAY,OTC,,2018-03-24,"200 BLK REDONDO AVE, LONG BEACH, CA 90803",LONG BEACH,ADOPTION,PFE/PAWSHP,1,2018-01-11,2018-03-24,72 days
2085,,BLACK,,Female,2017-09-14,5.0,2018-01-14,NORMAL,STRAY,OTC,,2018-01-24,"60 BLK BONITO AVE, LONG BEACH, CA 90802",LONG BEACH,TRANSFER,SPCALA,1,2018-01-14,2018-01-24,10 days
2086,*POPPET,BLACK,WHITE,Female,2017-10-14,5.0,2018-01-14,NORMAL,STRAY,FIELD,,2018-02-10,"I-405 / N STUDEBAKER RD, LONG BEACH, CA 90815",LONG BEACH,ADOPTION,SPEC EVT,1,2018-01-14,2018-02-10,27 days
2087,,TORTIE,,Female,2017-11-02,5.0,2018-01-17,NORMAL,STRAY,OTC,,2018-01-18,"2200 BLK LEWIS AVE, LONG BEACH, CA 90806",LONG BEACH,TRANSFER,SPCALA,1,2018-01-17,2018-01-18,1 days
2088,,BLACK,WHITE,Unknown,2015-01-19,8.0,2018-01-19,ILL MILD,STRAY,FIELD,,2018-01-19,"00 BLK W 53RD ST, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,ILL MODERA,0,2018-01-19,2018-01-19,0 days
2089,*QUARTZ,BLACK,,Neutered,2015-01-21,8.0,2018-01-21,FRACTIOUS,STRAY,OTC,,2018-02-14,"2000 BLK CANAL AVE, LONG BEACH, CA 90810",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2018-01-21,2018-02-14,24 days
2090,,BLACK,,Unknown,2017-11-01,5.0,2018-02-01,FRACTIOUS,STRAY,TRAP,,2018-02-06,"300 BLK E HARDING ST, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,1,2018-02-01,2018-02-06,5 days
2091,*ORANSSI,ORANGE,WHITE,Neutered,2014-02-01,9.0,2018-02-01,FRACTIOUS,STRAY,TRAP,,2018-02-10,"200 BLK E 59TH ST, LONG BEACH, CA 90805",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2018-02-01,2018-02-10,9 days
2092,,GRAY,WHITE,Unknown,2018-01-30,5.0,2018-02-01,UNDER AGE/WEIGHT,STRAY,FIELD,,2018-02-02,"1800 BLK MYRTLE AVE, LONG BEACH, CA 90806",LONG BEACH,RESCUE,FNDANIFOUN,1,2018-02-01,2018-02-02,1 days
2093,*RANDY,BLACK,,Neutered,2014-02-02,9.0,2018-02-02,NORMAL,STRAY,OTC,,2018-04-17,"4300 BLK N COUNTRY CLUB DR, LONG BEACH, CA 90807",LONG BEACH,ADOPTION,PFE/PAWSHP,1,2018-02-02,2018-04-17,74 days
2094,,BLACK,BLACK,Female,2017-10-02,5.0,2018-02-02,NORMAL,STRAY,OTC,,2018-02-09,"W PACIFIC COAT HWY / GOLDEN AVE, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,SPCALA,1,2018-02-02,2018-02-09,7 days
2095,,BRN TABBY,WHITE,Male,2012-02-04,11.0,2018-02-04,INJURED  SEVERE,STRAY,FIELD,,2018-02-04,"20000 GRIDLEY RD, CERRITOS, CA 90703",CERRITOS,EUTHANASIA,INJ SEVERE,0,2018-02-04,2018-02-04,0 days
2096,*ONI,BLACK,WHITE,Spayed,2015-02-10,8.0,2018-02-10,NORMAL,STRAY,TRAP,,2018-02-16,"1300 BLK JUNIPERO AVE, LONG BEACH, CA 90804",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2018-02-10,2018-02-16,6 days
2097,,BLACK,WHITE,Female,2017-12-10,5.0,2018-02-10,NORMAL,STRAY,OTC,,2018-02-10,"300 E 7TH ST, LONG BEACH, CA 90813",LONG BEACH,EUTHANASIA,ILL SEVERE,0,2018-02-10,2018-02-10,0 days
2098,,GRAY,,Male,2013-02-19,10.0,2018-02-19,NORMAL,STRAY,OTC,,2018-02-22,"2300 BLK SANTA FE AVE, LONG BEACH, CA 90810",LONG BEACH,TRANSFER,SPCALA,1,2018-02-19,2018-02-22,3 days
2099,,BLACK,,Female,2017-02-21,6.0,2018-02-21,NORMAL,STRAY,OTC,,2018-02-24,"1435 ORIZABA AVE, LONG BEACH, CA 90804",LONG BEACH,TRANSFER,SPCALA,1,2018-02-21,2018-02-24,3 days
2100,*LITTLE MOE,ORG TABBY,WHITE,Neutered,2017-02-21,6.0,2018-02-21,ILL MODERATETE,STRAY,FIELD,,2018-07-07,"3000 BLK GOLDEN AVE, LONG BEACH, CA 90806",LONG BEACH,RESCUE,STRAYCATAL,1,2018-02-21,2018-07-07,136 days
2101,,GRAY TABBY,,Unknown,2013-02-22,10.0,2018-02-22,ILL MODERATETE,STRAY,FIELD,,2018-02-22,"1100 BLK JUNIPERO AVE, LONG BEACH, CA 90804",LONG BEACH,EUTHANASIA,ILL MODERA,0,2018-02-22,2018-02-22,0 days
2102,,BRN TABBY,ORANGE,Female,2017-12-23,5.0,2018-02-23,NORMAL,STRAY,FIELD,,2018-02-23,"401 GOLDEN AVE, LONG BEACH, CA 90802",LONG BEACH,TRANSFER,SPCALA,1,2018-02-23,2018-02-23,0 days
2103,*SAM,BLACK,,Neutered,2015-02-26,8.0,2018-02-26,NORMAL,STRAY,FIELD,,2018-03-07,"3600 BLK SANTA FE AVE, LONG BEACH, CA 90810",LONG BEACH,ADOPTION,WALKIN,1,2018-02-26,2018-03-07,9 days
2104,*MAYBELLINE,GRAY,WHITE,Female,2017-02-28,6.0,2018-02-28,NORMAL,STRAY,OTC,,2018-03-07,"E HARCO ST / PALO VERDE AVE, LONG BEACH, CA 90808",LONG BEACH,RESCUE,OTHER RESC,1,2018-02-28,2018-03-07,7 days
2105,,BROWN,,Unknown,,,2018-03-01,ILL SEVERE,STRAY,FIELD,,2018-03-01,"1 BLK E 53RD ST, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,ILL SEVERE,0,2018-03-01,2018-03-01,0 days
2106,*SEPHORA,BRN TABBY,WHITE,Female,2017-08-04,5.0,2018-03-04,NORMAL,STRAY,OTC,,2018-03-07,"1900 BLK CONQUISTA AVE, LONG BEACH, CA 90815",LONG BEACH,RESCUE,OTHER RESC,1,2018-03-04,2018-03-07,3 days
2107,*THE DELIVERATOR,SEAL PT,,Neutered,2012-03-04,11.0,2018-04-05,NORMAL,STRAY,TRAP,,2018-04-07,"400 BLK E HULLETT ST, LONG BEACH, CA 90805",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,1,2018-04-05,2018-04-07,2 days
2108,,BRN TABBY,WHITE,Unknown,2018-03-01,5.0,2018-03-09,UNDER AGE/WEIGHT,STRAY,OTC,,2018-03-09,"2700 GUNDRY AVE, SIGNAL HILL, CA 90755",SIGNAL HILL,RESCUE,LITTLELION,1,2018-03-09,2018-03-09,0 days
2109,,BRN TABBY,WHITE,Unknown,2018-03-01,5.0,2018-03-09,UNDER AGE/WEIGHT,STRAY,OTC,,2018-03-09,"2700 GUNDRY AVE, SIGNAL HILL, CA 90755",SIGNAL HILL,RESCUE,LITTLELION,1,2018-03-09,2018-03-09,0 days
2110,,ORG TABBY,WHITE,Unknown,2018-03-08,5.0,2018-03-09,UNDER AGE/WEIGHT,STRAY,FIELD,,2018-04-08,"1600 BLK W PIER D ST, LONG BEACH, CA 90802",LONG BEACH,RESCUE,LITTLELION,1,2018-03-09,2018-04-08,30 days
2111,,ORG TABBY,WHITE,Unknown,2018-03-08,5.0,2018-03-09,UNDER AGE/WEIGHT,STRAY,FIELD,,2018-04-08,"1600 BLK W PIER D ST, LONG BEACH, CA 90802",LONG BEACH,RESCUE,LITTLELION,1,2018-03-09,2018-04-08,30 days
2112,,CALICO,,Female,2018-03-08,5.0,2018-03-09,UNDER AGE/WEIGHT,STRAY,FIELD,,2018-04-08,"1600 BLK W PIER D ST, LONG BEACH, CA 90802",LONG BEACH,DIED,IN KENNEL,0,2018-03-09,2018-04-08,30 days
2113,BABY,GRAY,,Male,2017-06-09,5.0,2018-03-09,NORMAL,OWNER SURRENDER,OTC,TOO MANY,2018-03-11,"5500 BLK LIME AVE, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,1,2018-03-09,2018-03-11,2 days
