Animal ID,Animal Name,Animal Type,Primary Color,Secondary Color,Sex,DOB,Age,Intake Date,Intake Condition,Intake Type,Intake Subtype,Reason for Intake,Outcome Date,Crossing,Jurisdiction,Outcome Type,Outcome Subtype,intake_is_dead,outcome_is_dead,was_outcome_alive
A628175,,CAT,BRN TABBY,,Male,6/9/2019,3,6/12/2019,UNDER AGE/WEIGHT,STRAY,OTC,,6/12/2019,"1800 BLK ORANGE AVE, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,UNDRAGE/WT,Alive on Intake,TRUE,0
A628176,,CAT,BRN TABBY,,Unknown,6/9/2019,3,6/12/2019,UNDER AGE/WEIGHT,STRAY,OTC,,6/12/2019,"1800 BLK ORANGE AVE, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,UNDRAGE/WT,Alive on Intake,TRUE,0
A628181,MURPH,CAT,WHITE,BLACK,Spayed,5/12/2019,4,6/12/2019,UNDER AGE/WEIGHT,STRAY,OTC,,7/28/2019,"3400 BLK LILLY AVE, LONG BEACH, CA 90808",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A628188,,CAT,BLACK,WHITE,Male,4/12/2019,4,6/12/2019,NORMAL,STRAY,OTC,,6/17/2019,"13000 BLK EARNSHAW AVE, DOWNEY, CA 90242",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A628190,,CAT,BLACK,WHITE,Male,4/12/2019,4,6/12/2019,NORMAL,STRAY,OTC,,6/15/2019,"13000 BLK EARNSHAW AVE, DOWNEY, CA 90242",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A628209,*MISS PRISS,CAT,WHITE,BLACK,Spayed,4/13/2019,4,6/13/2019,UNDER AGE/WEIGHT,STRAY,OTC,,12/14/2019,"1700 BLK SOUTH ST, LONG BEACH, CA 90805",DISTRICT9,ADOPTION,SPEC EVT,Alive on Intake,FALSE,1
A628215,*SIMBA,CAT,ORANGE,WHITE,Male,5/13/2019,4,6/13/2019,UNDER AGE/WEIGHT,STRAY,FIELD,,6/21/2019,"700 BLK ORANGE AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A628217,*ROO,CAT,BLACK,,Neutered,5/13/2019,4,6/13/2019,UNDER AGE/WEIGHT,STRAY,FIELD,,6/21/2019,"700 BLK ORANGE AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A628231,A628231*AMBER,CAT,FLAME PT,,Spayed,6/13/2016,6,9/22/2019,NORMAL,STRAY,OTC,,9/26/2019,"6200 PARIMA ST, LONG BEACH, CA 90803",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A628239,*FLOSSY,CAT,BLACK,WHITE,Female,3/13/2019,4,6/13/2019,NORMAL,STRAY,OTC,,6/15/2019,"2000 BLK DELTA AVE, LONG BEACH, CA 90810",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A628284,*WIZARD,CAT,GRAY TABBY,,Neutered,5/14/2019,4,6/14/2019,NORMAL,STRAY,OTC,,7/24/2019,"1000 CEDAR AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A628317,*PEARL,CAT,GRAY,WHITE,Female,5/15/2019,4,6/15/2019,UNDER AGE/WEIGHT,STRAY,OTC,,7/27/2019,"E MERCED AVE / S WALNUT AVE, WEST COVINA, CA 91790",OUT OF AREA,RESCUE,FNDANIFOUN,Alive on Intake,FALSE,1
A628318,*CHAD,CAT,GRAY TABBY,,Neutered,6/15/2016,6,6/15/2019,NORMAL,STRAY,OTC,,6/21/2019,"1400 BLK CERRITOS AVE, LONG BEACH, CA 90813",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A628338,*LACEY,CAT,GRAY TABBY,,Spayed,4/9/2019,4,6/15/2019,NORMAL,STRAY,FIELD,,11/21/2019,"1200 BLK E FLORIDA ST, LONG BEACH, CA 90802",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A628382,,CAT,ORG TABBY,WHITE,Male,6/14/2019,3,6/16/2019,UNDER AGE/WEIGHT,STRAY,OTC,,6/16/2019,"3000 BLK N SPRINGDALE DR, LONG BEACH, CA 90810",LONG BEACH,EUTHANASIA,UNDRAGE/WT,Alive on Intake,TRUE,0
A628482,,CAT,BRN TABBY,WHITE,Male,5/29/2019,3,6/19/2019,UNDER AGE/WEIGHT,STRAY,OTC,,6/19/2019,"2900 FASHION AVE, LONG BEACH, CA 90810",LONG BEACH,EUTHANASIA,ILL SEVERE,Alive on Intake,TRUE,0
A628498,WILLOW,CAT,CALICO DIL,,Female,7/26/2009,13,6/19/2019,NORMAL,OWNER SURRENDER,OTC,,8/14/2019,"400 PERALTA AVE, LONG BEACH, CA 90803",LONG BEACH,EUTHANASIA,ILL SEVERE,Alive on Intake,TRUE,0
A628499,A628499*SALT,CAT,BRN TABBY,WHITE,Spayed,6/19/2017,5,6/19/2019,NORMAL,STRAY,OTC,,7/26/2019,"1000 CORONADO AVE, LONG BEACH, CA 90804",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A628499,A628499*SALT,CAT,BRN TABBY,WHITE,Spayed,6/19/2017,5,8/7/2019,ILL SEVERE,STRAY,FIELD,,8/9/2019,"E 10TH ST / REDONDO AVE, LONG BEACH, CA 90804",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A628505,,CAT,BLACK,,Female,6/10/2019,3,6/19/2019,NORMAL,STRAY,OTC,,8/3/2019,"1000 CORONADO AVE, LONG BEACH, CA 90804",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A628524,,CAT,CALICO,,Female,6/19/2011,11,6/19/2019,ILL MODERATETE,STRAY,FIELD,,6/20/2019,"3000 OCANA AVE, LONG BEACH, CA 90808",LONG BEACH,EUTHANASIA,ILL SEVERE,Alive on Intake,TRUE,0
A628585,,CAT,BLACK,WHITE,Female,4/20/2019,4,6/20/2019,FRACTIOUS,STRAY,OTC,,7/19/2019,"17000 LAURELBROOK CT, CERRITOS, CA 90703",CERRITOS,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A628606,A628606,CAT,WHITE,GRAY,Neutered,6/20/2017,5,6/20/2019,NORMAL,STRAY,FIELD,,7/17/2019,"CERRITOS AVE / E HELLMAN ST, LONG BEACH, CA 90813",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A628642,,CAT,BLACK,,Male,5/31/2019,3,6/21/2019,UNDER AGE/WEIGHT,STRAY,OTC,,7/3/2019,"2000 BLK JOHN S GIBSON BLVD, SAN PEDRO, CA 90732",OUT OF AREA,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A628645,,CAT,GRAY,,Female,6/21/2017,5,6/21/2019,NORMAL,STRAY,OTC,,6/28/2019,"CHERRY AVE / 60TH ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A628686,*BIGGIE SMALLS,CAT,BRN TABBY,,Neutered,6/22/2015,7,7/11/2022,NORMAL,WELFARE SEIZED,OWNER DIED,,7/16/2022,"3400 BLK CALIFORNIA AVE, LONG BEACH, CA 90807",LONG BEACH,RETURN TO OWNER,WEB,Alive on Intake,FALSE,1
A628695,SWEETIE,CAT,BRN TABBY,,Neutered,4/22/2019,4,6/22/2019,NORMAL,STRAY,OTC,,12/20/2019,"20000 RHODA CIR, CERRITOS, CA 90703",CERRITOS,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A628726,*ANDI,CAT,GRAY TABBY,,Spayed,4/22/2019,4,6/22/2019,NORMAL,STRAY,FIELD,,1/18/2020,"45TH ST / ORANGE AVE, LONG BEACH, CA 90807",DISTRICT8,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A628743,,CAT,ORANGE,WHITE,Unknown,6/23/2013,9,6/23/2019,ILL SEVERE,STRAY,FIELD,,6/23/2019,"1600 BLK LOCUST AVE, LONG BEACH, CA 90813",LONG BEACH,EUTHANASIA,INJ SEVERE,Alive on Intake,TRUE,0
A628744,,CAT,BLACK,,Female,6/9/2019,3,6/23/2019,UNDER AGE/WEIGHT,STRAY,OTC,,6/23/2019,"7550 E SPRING ST, LONG BEACH, CA 90815",LONG BEACH,EUTHANASIA,UNDRAGE/WT,Alive on Intake,TRUE,0
A628761,*ALASKA,CAT,ORG TABBY,,Female,5/23/2019,3,6/23/2019,UNDER AGE/WEIGHT,STRAY,OTC,,7/27/2019,"PALO VERDE AVE / E SPRING ST, LONG BEACH, CA 90808",LONG BEACH,RESCUE,FNDANIFOUN,Alive on Intake,FALSE,1
A628803,,CAT,ORG TABBY,,Female,6/24/2015,7,6/24/2019,INJURED  SEVERE,STRAY,FIELD,,6/24/2019,"19400 BLK CHAMBLEE AVE, CERRITOS, CA 90703",CERRITOS,EUTHANASIA,ILL SEVERE,Alive on Intake,TRUE,0
A628850,,CAT,GRAY TABBY,,Male,4/25/2019,4,6/25/2019,NORMAL,STRAY,OTC,,6/26/2019,"13000 BLK LAKEWOOD BLVD, BELLFLOWER, CA 90706",OUT OF AREA,TRANSFER,SEAACA,Alive on Intake,FALSE,1
A628883,,CAT,BLACK,WHITE,Unknown,2/26/2019,4,6/26/2019,INJURED  SEVERE,STRAY,FIELD,,6/26/2019,"3200 BLK N LAKEWOOD BLVD, LONG BEACH, CA 90808",LONG BEACH,EUTHANASIA,INJ SEVERE,Alive on Intake,TRUE,0
A628901,,CAT,GRAY,WHITE,Male,5/26/2019,3,6/26/2019,UNDER AGE/WEIGHT,STRAY,OTC,,7/3/2019,"BLOOMFIELD AVE / KATELLA AVE, LOS ALAMITOS, CA 90720",LOS ALAMITOS,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A628907,MR. WIBBLE D. WOBBLES,CAT,TAN,,Neutered,3/26/2019,4,6/26/2019,INJURED  MODERATE,STRAY,FIELD,,11/18/2019,"11700 BLK CONCORD ST, CERRITOS, CA 90703",CERRITOS,RESCUE,OTHER RESC,Alive on Intake,FALSE,1
A628911,*DORI,CAT,TORTIE,WHITE,Female,6/26/2016,6,6/26/2019,NORMAL,STRAY,OTC,,8/26/2019,"7500 E CARSON ST, LONG BEACH, CA 90808",LONG BEACH,EUTHANASIA,ILL SEVERE,Alive on Intake,TRUE,0
A628970,,CAT,BLACK,,Female,6/27/2010,12,6/27/2019,ILL SEVERE,STRAY,FIELD,,6/28/2019,"13400 CARNABY ST, CERRITOS, CA 90703",CERRITOS,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A628982,DUSTY,CAT,GRAY,,Neutered,6/27/2005,17,6/27/2019,NORMAL,OWNER SURRENDER,OTC,MOVE,7/5/2019,"19000 BLK ALLINGHAM AVE, CERRITOS, CA 90703",CERRITOS,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A629033,A629033*PATTY,CAT,BRN TABBY,WHITE,Spayed,6/28/2016,6,6/28/2019,NORMAL,STRAY,OTC,,7/18/2019,"DEL AMO BLVD / ATLANTIC AVE, LONG BEACH, CA 90807",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A629042,LITTLE BOY,CAT,BLACK,WHITE,Neutered,10/28/2018,4,6/28/2019,NORMAL,OWNER SURRENDER,OTC,,12/26/2019,"3100 E THERESA ST, LONG BEACH, CA 90814",DISTRICT2,TRANSPORT,OTHER SHEL,Alive on Intake,FALSE,1
A629078,*GREG,CAT,GRAY,,Neutered,6/29/2016,6,6/29/2019,NORMAL,STRAY,OTC,,7/12/2019,"20000 BARCELONA AVE, CERRITOS, CA 90703",CERRITOS,RESCUE,FOLBA,Alive on Intake,FALSE,1
A629088,BABYCAT,CAT,SL LYNX PT,,Male,6/29/2016,6,6/29/2019,NORMAL,OWNER SURRENDER,OTC,,6/30/2019,"300 BLK MAGNOLIA AVE, LONG BEACH, CA 90802",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A629115,,CAT,BLACK,WHITE,Male,6/25/2019,3,6/29/2019,UNDER AGE/WEIGHT,STRAY,OTC,,7/3/2019,"700 BLK WALNUT AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A629126,*WINKY,CAT,BLACK,,Neutered,5/30/2019,3,6/29/2019,NORMAL,STRAY,OTC,,1/9/2020,"10TH ST / LINDEN AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A629139,*MARIE,CAT,CALICO,,Spayed,6/29/2014,8,6/29/2019,NORMAL,OWNER SURRENDER,OTC,,8/11/2019,"1600 BLK E 1ST ST, LONG BEACH, CA 90802",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A629198,*LAKER,CAT,ORG TABBY,,Neutered,5/1/2019,4,7/1/2019,NORMAL,STRAY,FIELD,,1/9/2020,"E OCEAN BLVD / JUNIPERO AVE, LONG BEACH, CA 90803",DISTRICT3,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A629251,*FRED,CAT,BLACK,WHITE,Male,5/14/2019,4,7/3/2019,UNDER AGE/WEIGHT,STRAY,OTC,,8/18/2019,"1100 E HELLMAN ST, LONG BEACH, CA 90813",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A629266,DOTTIE,CAT,WHITE,BLACK,Female,7/3/2017,5,7/3/2019,NORMAL,OWNER SURRENDER,OTC,ABANDON,7/6/2019,"3500 BLK MONOGRAM AVE, LONG BEACH, CA 90808",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A629286,*MYSTERY,CAT,ORG TABBY,,Spayed,7/3/2017,5,7/3/2019,NORMAL,STRAY,OTC,,7/10/2019,"1100 HOFFMAN AVE, LONG BEACH, CA 90813",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A629328,A629328*CREAMER,CAT,FLAME PT,,Spayed,7/5/2018,4,7/5/2019,FRACTIOUS,STRAY,OTC,,8/8/2019,"3300 BLK SANTA FE AVE, LONG BEACH, CA 90810",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A629334,DAISY,CAT,WHITE,GRAY,Female,9/5/2018,4,7/5/2019,NORMAL,OWNER SURRENDER,OTC,ALLERGIC,7/6/2019,"5000 BLK ANAHEIM RD, LONG BEACH, CA 90815",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A629338,,CAT,BRN TABBY,WHITE,Female,6/14/2019,3,7/5/2019,UNDER AGE/WEIGHT,STRAY,OTC,,8/14/2019,"W 32ND ST / GALE AVE, LONG BEACH, CA 90810",LONG BEACH,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A629344,LUCA,CAT,BL LYNX PT,,Neutered,6/5/2019,3,7/5/2019,UNDER AGE/WEIGHT,STRAY,OTC,,8/24/2019,"7000 BLK CARSON BLVD, LONG BEACH, CA 90808",LONG BEACH,FOSTER TO ADOPT,,Alive on Intake,FALSE,1
A629373,MAX,CAT,GRAY,WHITE,Neutered,7/6/2018,4,7/6/2019,FRACTIOUS,OWNER SURRENDER,OTC,,7/7/2019,"500 BLK E 17TH ST, LONG BEACH, CA 90813",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A629388,,CAT,TORTIE,,Unknown,5/6/2019,4,7/6/2019,FRACTIOUS,STRAY,OTC,,7/18/2019,"1800 BLK W SPRING ST, LONG BEACH, CA 90810",LONG BEACH,EUTHANASIA,ILL SEVERE,Alive on Intake,TRUE,0
A629392,*NOVA,CAT,TORTIE DIL,,Spayed,5/6/2019,4,7/6/2019,UNDER AGE/WEIGHT,STRAY,OTC,,1/23/2020,"E 3RD ST / ORANGE AVE, LONG BEACH, CA 90802",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A629406,,CAT,GRAY TABBY,,Female,6/6/2019,3,7/6/2019,UNDER AGE/WEIGHT,STRAY,OTC,,7/6/2019,"1200 BLK OLIVE AVE, LONG BEACH, CA 90813",LONG BEACH,EUTHANASIA,ILL SEVERE,Alive on Intake,TRUE,0
A629479,,CAT,ORG TABBY,,Male,6/23/2019,3,7/7/2019,UNDER AGE/WEIGHT,STRAY,OTC,,8/16/2019,"4600 BLK LONG BEACH BLVD, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A629531,WENT TO YAPS 2,CAT,ORG TABBY,WHITE,Male,7/8/2015,7,7/8/2019,NORMAL,STRAY,OTC,,7/10/2019,"7700 E SPRING ST, LONG BEACH, CA 90815",LONG BEACH,RETURN TO RESCUE,OTHER RESC,Alive on Intake,FALSE,1
A629550,,CAT,BRN TABBY,,Female,4/9/2019,4,7/9/2019,NORMAL,STRAY,OTC,,7/17/2019,"1900 LEMON AVE, LONG BEACH, CA 90806",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A629600,,CAT,WHITE,GRAY,Male,7/8/2019,3,7/10/2019,UNDER AGE/WEIGHT,STRAY,OTC,,4/10/2020,"3700 BLK SAN ANSELINE AVE, LONG BEACH, CA 90808",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A629601,,CAT,BLK TABBY,,Male,7/8/2019,3,7/10/2019,UNDER AGE/WEIGHT,STRAY,OTC,,7/28/2019,"3700 BLK SAN ANSELINE AVE, LONG BEACH, CA 90808",LONG BEACH,EUTHANASIA,ILL SEVERE,Alive on Intake,TRUE,0
A629623,,CAT,BLACK,WHITE,Male,7/8/2019,3,7/10/2019,UNDER AGE/WEIGHT,STRAY,OTC,,7/10/2019,"3500 LAMA AVE, LONG BEACH, CA 90808",LONG BEACH,RESCUE,SBACC,Alive on Intake,FALSE,1
A629648,,CAT,GRAY TABBY,,Female,7/8/2019,3,7/10/2019,NORMAL,STRAY,FIELD,,7/12/2019,"1200 BLK CEDAR AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A629659,A629659*KATNISS,CAT,TORTIE,,Spayed,3/11/2019,4,7/11/2019,FRACTIOUS,STRAY,FIELD,,9/18/2019,"3300 BLK CASPIAN AVE, LONG BEACH, CA 90810",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A629660,A629660*POPCORN,CAT,TORTIE,,Spayed,3/11/2019,4,7/11/2019,FRACTIOUS,STRAY,FIELD,,8/20/2019,"3300 BLK CASPIAN AVE, LONG BEACH, CA 90810",LONG BEACH,DIED,IN KENNEL,Alive on Intake,TRUE,0
A629670,,CAT,ORG TABBY,,Female,5/11/2019,4,7/11/2019,NORMAL,STRAY,OTC,,7/11/2019,"6400 BLK MRYTLE AVE, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A629762,A629762*CANNOLI,CAT,GRAY,WHITE,Neutered,7/11/2017,5,7/11/2019,INJURED  SEVERE,STRAY,FIELD,,7/26/2019,"5500 BLK ELM AVE, LONG BEACH, CA 90805",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A629785,,CAT,ORG TABBY,,Male,7/6/2019,3,7/12/2019,UNDER AGE/WEIGHT,STRAY,OTC,,7/12/2019,"ORANGE AVE / E DEL AMO ST, LONG BEACH, CA 90807",LONG BEACH,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A629810,*OWLINA,CAT,TORTIE,,Spayed,5/12/2019,4,7/12/2019,NORMAL,STRAY,OTC,,8/8/2019,"E LOS SANTOS ST / SAN ANSELINE AVE, LONG BEACH, CA 90815",LONG BEACH,HOMEFIRST,,Alive on Intake,FALSE,1
A629811,*FOXY,CAT,BLACK,WHITE,Spayed,5/12/2019,4,7/12/2019,NORMAL,STRAY,OTC,,11/30/2019,"E LOS SANTOS ST / SAN ANSELINE AVE, LONG BEACH, CA 90815",LONG BEACH,RESCUE,CATPAWS,Alive on Intake,FALSE,1
A629824,*FINN,CAT,BLACK,WHITE,Neutered,5/12/2019,4,7/12/2019,NORMAL,STRAY,OTC,,8/22/2019,"17000 BLK SYBRANDY AVE, CERRITOS, CA 90703",CERRITOS,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A629873,PHOEBE,CAT,WHITE,BLACK,Spayed,6/13/2019,3,7/13/2019,UNDER AGE/WEIGHT,STRAY,OTC,,8/18/2019,"20100 BLK RHODA CIR, CERRITOS, CA 90703",CERRITOS,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A629886,FINN,CAT,WHITE,GRAY,Neutered,3/13/2019,4,7/13/2019,NORMAL,STRAY,OTC,,8/16/2019,"2800 BLK E SPAULDING ST, LONG BEACH, CA 90804",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A629922,,CAT,BRN TABBY,,Female,7/14/2011,11,7/14/2019,ILL MODERATETE,STRAY,FIELD,,7/18/2019,"2200 CHESTNUT AVE, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,AT VET,Alive on Intake,TRUE,0
A629939,*SHORTY,CAT,ORG TABBY,,Male,5/14/2019,4,7/14/2019,NORMAL,STRAY,OTC,,7/19/2019,"800 BLK E HARDING ST, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A629987,A629987*GEE,CAT,BLACK,WHITE,Neutered,7/15/2014,8,7/15/2019,FRACTIOUS,STRAY,FIELD,,7/31/2019,"E 15TH ST / ORIZABA AVE, LONG BEACH, CA 90804",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A629999,*HERBIE,CAT,BRN TABBY,WHITE,Male,3/16/2019,4,7/16/2019,NORMAL,STRAY,OTC,,7/19/2019,"19000 BLK GRIDLEY RD, CERRITOS, CA 90703",CERRITOS,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A630002,,CAT,ORG TABBY,,Male,6/16/2019,3,7/16/2019,ILL SEVERE,STRAY,OTC,,7/16/2019,"200 BLK E PLATT ST, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,ILL SEVERE,Alive on Intake,TRUE,0
A630015,,CAT,BRN TABBY,,Female,1/17/2019,4,7/17/2019,INJURED  SEVERE,STRAY,FIELD,,7/19/2019,"2300 BLK ATLANTIC AVE, LONG BEACH, CA 90806",LONG BEACH,EUTHANASIA,AT VET,Alive on Intake,TRUE,0
A630023,WINSTON,CAT,GRAY TABBY,,Male,6/17/2019,3,7/17/2019,UNDER AGE/WEIGHT,STRAY,OTC,,8/7/2019,"5200 BLK GUNDRY AVE, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WEB,Alive on Intake,FALSE,1
A630026,,CAT,GRAY TABBY,,Male,6/17/2019,3,7/17/2019,UNDER AGE/WEIGHT,STRAY,OTC,,10/11/2019,"5200 BLK GUNDRY AVE, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A630036,*GEORGINA,CAT,BLACK,,Spayed,6/17/2019,3,7/17/2019,UNDER AGE/WEIGHT,STRAY,OTC,,1/18/2020,"4800 BENTREE AVE, LONG BEACH, CA 90807",LONG BEACH,ADOPTION,GOOD SAM,Alive on Intake,FALSE,1
A630043,,CAT,BRN TABBY,WHITE,Unknown,,,7/17/2019,FRACTIOUS,STRAY,TRAP,,7/17/2019,"12400 MILES ST, CERRITOS, CA 90703",CERRITOS,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A630072,*CLIFFORD,CAT,BRN TABBY,,Male,5/17/2019,3,7/17/2019,NORMAL,STRAY,OTC,,8/10/2019,"CALIFORNIA AVE / E 59TH ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A630107,MARABELLE AMERICA,CAT,CALICO DIL,,Spayed,7/18/2018,4,7/18/2019,NORMAL,STRAY,OTC,,9/5/2019,"E WARDLOW RD / N STUDEBAKER RD, LONG BEACH, CA 90808",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A630127,*OLEANDER,CAT,GRAY,WHITE,Male,4/18/2019,4,7/18/2019,NORMAL,STRAY,OTC,,9/1/2019,"1500 ELM AVE, LONG BEACH, CA 90813",LONG BEACH,RESCUE,CATPAWS,Alive on Intake,FALSE,1
A630133,,CAT,BRN TABBY,,Female,3/18/2019,4,7/18/2019,NORMAL,STRAY,OTC,,7/18/2019,"6800 BLK BEECHLEY AVE, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A630177,,CAT,BRN TABBY,,Female,3/18/2019,4,7/19/2019,NORMAL,STRAY,OTC,,7/19/2019,"6800 BLK BEECHLEY AVE, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A630178,,CAT,BRN TABBY,,Male,7/17/2019,3,7/19/2019,UNDER AGE/WEIGHT,STRAY,OTC,,7/19/2019,"1300 E 56TH ST, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,UNDRAGE/WT,Alive on Intake,TRUE,0
A630193,LUNAR,CAT,WHITE,,Male,9/19/2018,4,7/19/2019,NORMAL,OWNER SURRENDER,OTC,OWNER PROB,7/26/2019,"5000 BLK CHERRY AVE, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A630236,PHRANKIE,CAT,GRAY,BLACK,Male,7/20/2016,6,7/20/2019,NORMAL,OWNER SURRENDER,OTC,ALLERGIC,7/26/2019,"1300 BLK E 7TH ST, LONG BEACH, CA 90813",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A630238,*POLLY,CAT,WHITE,BRN TABBY,Female,7/20/2016,6,7/20/2019,NORMAL,STRAY,OTC,,8/22/2019,"6400 BLK SAINT LOUIS AVE, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
A630307,,CAT,GRAY,,Unknown,7/14/2019,3,7/21/2019,UNDER AGE/WEIGHT,STRAY,FIELD,,7/21/2019,"200 BLK E CUMMINGS LN, LONG BEACH, CA 90805",LONG BEACH,RESCUE,LITTLEPAWS,Alive on Intake,FALSE,1
A630343,A630343*E,CAT,ORG TABBY,,Neutered,7/21/2016,6,7/21/2019,NORMAL,STRAY,OTC,,7/31/2019,"3700 STEVELY AVE, LONG BEACH, CA 90808",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,Alive on Intake,FALSE,1
A630442,,CAT,BRN TABBY,,Unknown,7/21/2019,3,7/22/2019,UNDER AGE/WEIGHT,STRAY,FIELD,,8/4/2019,"800 BLK W 16TH ST, LONG BEACH, CA 90813",LONG BEACH,EUTHANASIA,ILL SEVERE,Alive on Intake,TRUE,0
A630443,,CAT,BRN TABBY,WHITE,Unknown,7/21/2019,3,7/22/2019,UNDER AGE/WEIGHT,STRAY,FIELD,,8/4/2019,"800 BLK W 16TH ST, LONG BEACH, CA 90813",LONG BEACH,EUTHANASIA,ILL SEVERE,Alive on Intake,TRUE,0
A630459,*POUT,CAT,BLACK,,Male,1/22/2019,4,7/22/2019,NORMAL,STRAY,FIELD,,7/26/2019,"12600 TOWNE CENTER DR, CERRITOS, CA 90703",CERRITOS,TRANSFER,SPCALA,Alive on Intake,FALSE,1
